city,home_team,flag
London,Great Britain,1
Athina,Greece,1
Sydney,Australia,1
Atlanta,United States,1
Rio de Janeiro,Brazil,1
Beijing,China,1
Barcelona,Spain,1
Los Angeles,United States,1
Seoul,South Korea,1
Munich,Germany,1
Montreal,Canada,1
Mexico City,Mexico,1
Helsinki,Finland,1
Roma,Italy,1
Tokyo,Japan,1
Moskva,Russia,1
Paris,France,1
Berlin,Germany,1
Amsterdam,Netherlands,1
Sochi,Russia,1
Melbourne,Australia,1
Vancouver,Canada,1
Torino,Italy,1
Stockholm,Sweden,1
Antwerpen,Belgium,1
Salt Lake City,United States,1
Innsbruck,Austria,1
Nagano,Japan,1
Albertville,France,1
Lillehammer,Norway,1
Calgary,Canada,1
Sarajevo,Yugoslavia,1
Lake Placid,United States,1
Grenoble,France,1
Sankt Moritz,Switzerland,1
Sapporo,Japan,1
Cortina d'Ampezzo,Italy,1
St. Louis,United States,1
Squaw Valley,United States,1
Oslo,Norway,1
Garmisch-Partenkirchen,Germany,1
Chamonix,France,1
